gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GAPDH,62.46207589390017,1.9880234547584668,0.30959317143258347,6.421406019904336,1.3502136207989056e-10,3.069249837279776e-9
ENTPD1,7.031558145536114,1.8139226982672056,0.23627780784760646,7.677076043625487,1.6276082289390073e-14,1.4518265402135946e-12
UQCRB,13.112860443525317,1.7455426990038498,0.20112133326092158,8.679052941337146,3.990779155410623e-18,1.779887503313138e-15
COX4I1,14.306407372074968,1.6795067414688556,0.20333944750595334,8.259620856005736,1.4613590319795195e-16,3.2588306413143286e-14
FTH1,50.147873069904605,1.65664153402755,0.2592757854952762,6.389495767462376,1.6643364421886307e-10,3.5347335867434726e-9
COX7C,14.27865234409019,1.651790589960283,0.20480602008274507,8.065146665576197,7.314799753116742e-16,1.0874668966300222e-13
LDHB,7.394131081772569,1.5591635987074688,0.20710864274307841,7.528240145157226,5.142874279665937e-14,3.2767456124728687e-12
FTL,44.768154764220554,1.5454821037099542,0.24714000251217014,6.253468026220679,4.014367812706914e-10,7.294917827915785e-9
CHST12,4.491291638305446,1.4618697390587674,0.21942632823111075,6.66223488695966,2.6969453160935303e-11,7.075515358692438e-10
TPI1,13.743160633881256,1.4606585787723305,0.23050357721012318,6.336815230597566,2.3456300020177726e-10,4.755231731363303e-9
COX6C,8.960129519183756,1.450429284363241,0.1862600425159055,7.787119903826839,6.85538893663754e-15,7.643758664350857e-13
COX6B1,8.94158378477377,1.432394842253371,0.18727438803064975,7.648642493595772,2.0311206050216324e-14,1.5097996497327466e-12
UQCR10,5.841042029774702,1.4190660068943786,0.19477338057178456,7.285728690073107,3.199362570717905e-13,1.585461896155762e-11
ATP6V0E1,7.655903751571316,1.4050676448117216,0.18991693124364317,7.398327445640798,1.379104452584665e-13,7.688507323159507e-12
COX7B,6.322624520967296,1.3440590217869848,0.18822406387761514,7.140739574409057,9.283008232081617e-13,3.763837883189455e-11
UQCR11,7.103148065496747,1.3425047516459132,0.1999068900845808,6.715650226352369,1.8722942002138834e-11,5.2190200830962e-10
ALDOA,10.003467220681062,1.3385970608198106,0.18710048569463533,7.154428572700342,8.402218151644522e-13,3.747389295633457e-11
UQCRH,6.607129967556945,1.325163227005389,0.19242169279375207,6.88676628796614,5.707487264682969e-12,1.9642567633507737e-10
NDUFA4,10.129781030047264,1.3171579067401402,0.19127166694478392,6.886320006404167,5.725412090484318e-12,1.9642567633507737e-10
COX7A2,9.107756734864962,1.2585608339945564,0.18334096170705225,6.864591645403951,6.668172128029863e-12,2.1242891207866563e-10
GSTK1,6.011117168394028,1.2204219227431472,0.18526582846156595,6.587409739170157,4.4756589805216135e-11,1.1089688362848e-9
COX6A1,7.888149474262401,1.2116414473921593,0.17729045892546658,6.834216881922207,8.245420173098702e-12,2.4516382648013475e-10
NDUFB11,5.448547762729755,1.2052356563375743,0.19281953739354657,6.250588880304575,4.0890794999527944e-10,7.294917827915785e-9
NDUFS5,7.654439533903398,1.1587424105822535,0.19338852952711405,5.991784587305587,2.075507303339383e-9,2.892738304029265e-8
NDUFB8,4.995356879041706,1.1555365568227196,0.19058905171282045,6.062974480632192,1.3362687416084262e-9,2.1284852098477074e-8
NDUFA11,4.406838416260919,1.1481796510999651,0.2082289156023949,5.5140259832710745,3.507167873869947e-8,4.2275591128270174e-7
NDUFA1,5.8327582902012445,1.1451296234838302,0.18509621409885962,6.186672315578632,6.144751015534505e-10,1.0540611357416881e-8
ATP6V1F,4.144128942398235,1.1430468493719694,0.20776986258249464,5.50150457416857,3.7656384205523796e-8,4.4196703567535824e-7
NDUFV2,4.936179603729997,1.1403368399233327,0.19622964165792034,5.8112364181515375,6.201311297056145e-9,8.134661289667766e-8
KMT2E,6.941354022141359,1.1395493899390186,0.17754172061053528,6.418487925093354,1.3763452185111104e-10,3.069249837279776e-9
APRT,6.509623454657894,1.1364423399100156,0.18950415041225116,5.996925858551256,2.0108781201683725e-9,2.892738304029265e-8
COX5B,6.989016587692042,1.1341106047735496,0.18076110184051689,6.274085482031197,3.5169525839356057e-10,6.81982979319687e-9
ATP6V1G1,5.9373593612860684,1.1262908565083143,0.18785628651169517,5.9954919658128984,2.0287032590917423e-9,2.892738304029265e-8
NDUFA3,4.030136638314707,1.1238288401088945,0.2555706129113571,4.397332022280225,1.0958963827070488e-5,8.574908538374453e-5
UQCRQ,5.549566474303162,1.12348707239445,0.18498749631215788,6.073313574116475,1.252974430030804e-9,2.0697281325694022e-8
COX8A,8.170607301981757,1.1171474363282146,0.18621359759837913,5.999279594703124,1.981948432689666e-9,2.892738304029265e-8
DAD1,5.289511320565699,1.1138000242850326,0.1971744141565158,5.648806053512121,1.6156600660095147e-8,2.0588125412578385e-7
PGK1,8.885413655700008,1.1019944834006494,0.18801766630438688,5.8611220161439554,4.5974998451697204e-9,6.21359069983544e-8
PKM,11.832655171809142,1.0847392068907717,0.23669341660096818,4.582887105472349,4.585996619758061e-6,4.010499004729598e-5
ENO1,11.142050890936025,1.0723100250049917,0.22263258783408096,4.816500744285203,1.4609762032952992e-6,1.4165117101515292e-5
IDH3A,1.6725333293969975,-1.0648971238315628,0.2708137987541468,-3.93221146311791,8.4167975288825e-5,5.865455777939992e-4
LPGAT1,1.7402910540105496,-1.0399853489502162,0.270486250214299,-3.84487325372829,1.2061476474850387e-4,8.276028473512727e-4
NDUFB10,4.263362515669269,1.035984714856654,0.20873422683662593,4.963176047153533,6.934966838716457e-7,7.193012116436139e-6
GUK1,7.449500290329427,1.0271848286701035,0.19978282232314246,5.141507246347057,2.7254313936764293e-7,2.894148575189732e-6
ACAD8,1.5864886083566039,-1.0252850191072447,0.2790958631730363,-3.673594468405214,2.3916219916568054e-4,0.0015238048689699074
PGAM1,7.8392456853600505,1.023409928505099,0.1929325945268884,5.304494717518919,1.1298551505418254e-7,1.229061944247937e-6
TMEM258,5.5197796271553905,1.0160718226038041,0.18374420054972962,5.529817102057643,3.205648369838295e-8,3.9714421470774437e-7
ACP5,4.057810854009848,1.015743543750074,0.23354679330884862,4.349207836935817,1.3663017737601797e-5,1.0506389501673105e-4
PRDX6,5.213296366361313,1.0019223779581048,0.1884417421567604,5.316881315630314,1.0556087214483992e-7,1.1770037244149651e-6
MIF,5.980008931388336,0.9981164344821503,0.2015416688381364,4.952407312275283,7.330097333618464e-7,7.430053206349625e-6
ATP6V1C1,1.660217708153401,-0.9942435886021258,0.26725816319883733,-3.7201617219168672,1.990952492525104e-4,0.0012869055241539079
GPX4,6.209634122870906,0.9849716071562525,0.18486049526168338,5.328188728272929,9.919702073649906e-8,1.1344069550891943e-6
IDS,4.346555204543544,0.9698459585232866,0.21738402767906115,4.46144074556911,8.141045794539714e-6,6.723900785860579e-5
