feature_id,gene,sublineage,meta_score,n_models_occur,elasticnet_score,lasso_score,randomforest_score,svm_linear_score,svm_rbf_score
B4GALT3@IgG_46,B4GALT3,IgG,2.192736919651803,3,0.5208787434497039,0.6718581762020994,1,0,0
AK6@T_activated_44,AK6,T_activated,1.9103559349196833,3,0.5310347976846488,0.6387311531995383,0.7405899840354961,0,0
SARDH@T_activated_44,SARDH,T_activated,1.8953555481644104,3,0.5191154323353052,0.7245654107968814,0.6516747050322238,0,0
ACP1@IgG_9,ACP1,IgG,1.7564775779111608,3,0.5070366243897498,0.6394880691318396,0.6099528843895713,0,0
ALG3@IgG_9,ALG3,IgG,1.7257976429431907,3,0.5051640006443144,0.6317562281106266,0.5888774141882496,0,0
ACLY@T_activated_44,ACLY,T_activated,1.71013175204494,3,0.5400090820985364,0.6010665582631487,0.5690561116832549,0,0
ACAA1@T_activated_44,ACAA1,T_activated,1.6857864223863428,3,0.5155387661003934,0.5880643200634639,0.5821833362224855,0,0
PLD3@IgG_46,PLD3,IgG,1.6827575380435535,3,0.5031990867987688,0.5929613986773069,0.5865970525674779,0,0
CHST12@T_activated_44,CHST12,T_activated,1.6768992336682673,3,0.5085933954304723,0.5909239734211252,0.5773818648166698,0,0
RPIA@T_activated_44,RPIA,T_activated,1.6734617605329098,3,0.5258571572548872,0.584950910997284,0.5626536922807386,0,0
NUDT16@T_activated_44,NUDT16,T_activated,1.642841455833174,3,0.5144958432477614,0.5327409756403996,0.5956046369450132,0,0
DUT@T_activated_44,DUT,T_activated,1.6265023486176355,3,0.5005895216693139,0.5698298004953354,0.5560830264529862,0,0
TKT@T_GZMK_1,TKT,T_GZMK,1.61603574636142,2,0,0,0,0.6160357463614198,1
NME1@T_activated_44,NME1,T_activated,1.6050800290926501,3,0.501223038068498,0.5314437877378743,0.5724132032862778,0,0
CHST15@CD14 mono_2,CHST15,CD14 mono,1.4757999291893285,2,0,0,0,0.721462997548191,0.7543369316411375
UQCRC2@IgG_9,UQCRC2,IgG,1.4058475147062663,2,0.5026995652121105,0.9031479494941559,0,0,0
AKR1C3@Tcm-naive_I_51,AKR1C3,Tcm-naive_I,1.4000720614070783,2,0,0,0,0.889600314460582,0.5104717469464962
GUSB@DC3_52,GUSB,DC3,1.383854147638537,2,0,0,0,0.8546319107755047,0.5292222368630324
BCAT1@CD14 mono_58,BCAT1,CD14 mono,1.3625135325369997,2,0,0,0,0.8602247789186839,0.5022887536183159
NUDT16@DC3_52,NUDT16,DC3,1.3522576821003187,2,0,0,0,0.7786260844306504,0.5736315976696683
PGD@T_GZMK_1,PGD,T_GZMK,1.3402912319796716,2,0,0,0,0.7616652171013811,0.5786260148782904
NDUFA9@CD14 mono_2,NDUFA9,CD14 mono,1.3331021892066177,2,0,0,0,0.7505263605882055,0.5825758286184121
AKR1D1@Treg_19,AKR1D1,Treg,1.306385845932695,2,0.5292834205248029,0,0,0,0.777102425407892
ATIC@DC3_29,ATIC,DC3,1.3028177220045858,2,0,0,0,0.7736233138260283,0.5291944081785575
NAPRT@DC3_52,NAPRT,DC3,1.2757555018494384,2,0,0,0,0.6901032442610662,0.5856522575883722
NDUFA10@CD14 mono_58,NDUFA10,CD14 mono,1.2746580510221635,2,0.5020545630962054,0,0,0,0.772603487925958
FTH1@DC3_30,FTH1,DC3,1.2709116569890078,2,0.7131436784746443,0,0.5577679785143634,0,0
PGAM1@DC3_30,PGAM1,DC3,1.2632233737151743,2,0.6768752837151195,0,0.58634809000005494,0,0
AGPAT5@Treg_19,AGPAT5,Treg,1.2599686510616672,2,0.5482620184149339,0,0.7117066326467333,0,0
ACAA1@CD14 mono_58,ACAA1,CD14 mono,1.2541504297891204,2,0.524525145849894,0,0,0,0.7296252839392263
PNPLA2@Tcycle_18,PNPLA2,Tcycle,1.2504539847161817,2,0,0,0,0.6887458198312905,0.5617081648848912
PRPS1@T_activated_44,PRPS1,T_activated,1.2393165781541238,2,0.5121293337347852,0.7271872444193387,0,0,0
KMT2E@IgG_46,KMT2E,IgG,1.2392037935565652,2,0,0.666545168757715,0.5726586247988502,0,0
ADPGK@CD14 mono_58,ADPGK,CD14 mono,1.2123472910665407,2,0.5090853863044379,0,0,0,0.7032619047621028
PTGES3@DC3_52,PTGES3,DC3,1.2096646436306937,2,0,0,0,0.6183205772664445,0.5913440663642493
GALM@MoMac-II_11,GALM,MoMac-II,1.207178488966341,2,0.5576383583866467,0,0.6495401305796944,0,0
UQCR10@IgG_17,UQCR10,IgG,1.1945035602033762,2,0,0.6931988677225054,0.5013046924808707,0,0
ACO2@AM_57,ACO2,AM,1.193596079295225,2,0.5183980247678085,0,0.6751980545274163,0,0
HK2@CD16 mono_23,HK2,CD16 mono,1.1930382441271141,2,0.5736012616366372,0,0.619436982490477,0,0
MAN1A2@T_activated_44,MAN1A2,T_activated,1.1920255118181209,2,0.5121285250825806,0.6798969867355402,0,0,0
ADPGK@T_activated_44,ADPGK,T_activated,1.1913247181491893,2,0.5242513696826103,0.667073348466579,0,0,0
SMPD4@IM_8,SMPD4,IM,1.1880539840773006,2,0,0,0,0.6156056394900855,0.5724483445872152
INPP5D@IgG_9,INPP5D,IgG,1.1817974254537797,2,0.5290783709504179,0,0.6527190545033619,0,0
UQCRFS1@IgG_28,UQCRFS1,IgG,1.1793397837931963,2,0,0.566670343517293,0.6126694402759033,0,0
NDUFS2@T_activated_44,NDUFS2,T_activated,1.1787544865363544,2,0.5347094887340932,0.6440449978022613,0,0,0
CAD@IgG_28,CAD,IgG,1.1732108882262235,2,0.5104425803689052,0,0,0,0.6627683078573183
GAPDH@DC3_30,GAPDH,DC3,1.1717000178883303,2,0.5806291984133432,0,0.5910708194749871,0,0
HAGH@AM_57,HAGH,AM,1.1716527301511568,2,0.5036444873514656,0,0.6680082427996912,0,0
PKM@IgG_46,PKM,IgG,1.1708948704111946,2,0,0.561884389914421,0.6090104804967735,0,0
B3GAT2@MoMac-II_42,B3GAT2,MoMac-II,1.1688841863246915,2,0.5777129966237835,0,0.5911711897009081,0,0
PIGT@T_activated_44,PIGT,T_activated,1.1685632744427605,2,0.5000858841784444,0.6684773902643162,0,0,0
UQCR10@T_activated_44,UQCR10,T_activated,1.1660207371565483,2,0,0.5776358050025996,0.5883849321539488,0,0
NSD1@MoMac-II_42,NSD1,MoMac-II,1.1654346203900745,2,0.5351435931215969,0,0.6302910272684776,0,0
AGPAT5@AM_57,AGPAT5,AM,1.1623715090289313,2,0.51184139308125,0,0.6505301159476812,0,0
DNMT1@DC3_52,DNMT1,DC3,1.1618615879094585,2,0,0,0,0.6049531180290814,0.5569084698803771
ACSS1@MoMac-II_42,ACSS1,MoMac-II,1.1603999229619313,2,0.5346082238000178,0,0,0,0.6257916991619135
GUSB@T_activated_44,GUSB,T_activated,1.155496937555486,2,0.5147040074855385,0.6407929300699476,0,0,0
ALG5@CD14 mono_36,ALG5,CD14 mono,1.1542062301944325,2,0.5124483627217388,0.6417578674726937,0,0,0
GLUD1@Treg_19,GLUD1,Treg,1.153948315989377,2,0.5583436790443638,0,0.5956046369450132,0,0
SIRT2@DC3_52,SIRT2,DC3,1.1464696383118496,2,0.5567019784336742,0,0.5897676598781754,0,0
NMRK1@T_activated_44,NMRK1,T_activated,1.1453287690595735,2,0.524553271966971,0.6207754970926025,0,0,0
PPCDC@IgG_9,PPCDC,IgG,1.1414177628925997,2,0.5121189268923884,0,0.6292988360002113,0,0
STT3B@T_activated_44,STT3B,T_activated,1.1411734137254523,2,0.5084379014446919,0.6327355122807603,0,0,0
PDE3B@T_activated_44,PDE3B,T_activated,1.1406867488032906,2,0.5085951552330743,0.6320915935702164,0,0,0
CHPF@DC3_29,CHPF,DC3,1.1397937314556086,2,0.5619640610155985,0,0.5778296704400101,0,0
