gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FTL,89.05571349205786,1.4588600553408324,0.34369666074662975,4.244615156201042,2.1896889570514793e-5,3.096845810687092e-4
GAPDH,14.581809795156975,1.4144448387560598,0.2434869078849061,5.8091207081435945,6.2801799291533075e-9,1.8652134389585323e-6
COX7A2,11.884823658271428,1.196045978793682,0.2110087006110344,5.668230624283255,1.4427968024802276e-8,2.142553251683138e-6
SAT1,22.807569250086036,1.186825773614168,0.3024682593935283,3.923802702451634,8.716212627390583e-5,9.956596732057705e-4
ALDH2,1.903174086873983,-1.0399805543541893,0.24698297015399184,-4.2107379051509906,2.5453791507562554e-5,3.436261853520945e-4
UQCRB,10.234229615290273,1.031733423156114,0.19057115267708688,5.413901362628234,6.166614470869775e-8,4.578711244620808e-6
COX7C,10.703855675350031,1.0041186972166494,0.19528772911930103,5.141739840721044,2.7220587436368147e-7,1.3474190781002233e-5
FTH1,39.10523420727895,1.0002041262959476,0.30194596145037345,3.312526922007986,9.245722693715302e-4,0.005969520956594445
NDUFA4,9.04238008873051,0.9592324716010281,0.1952180845891828,4.91364554477439,8.93983113333458e-7,3.318912308250463e-5
UQCRQ,8.716032491215547,0.9348751129278816,0.18865226187820694,4.955546801402428,7.212715786552514e-7,3.0602522694372806e-5
NDUFB4,5.908332976765361,0.9320622126333852,0.1668715921113088,5.585505602485468,2.3302127537762418e-8,2.3069106262384793e-6
UQCRH,8.323478997080741,0.9244769602649924,0.19242259103500114,4.804409686474041,1.5520873845868963e-6,4.609699532223082e-5
DAD1,8.299476206886744,0.9093555966252805,0.17598429298803223,5.16725431108287,2.3755793229210387e-7,1.3474190781002233e-5
PLPP5,6.471331258141397,0.8908080597787388,0.19107934889861747,4.661979773917809,3.131819758511052e-6,6.643931916269874e-5
SRM,4.915935312350726,0.8896732316196513,0.18683561142824864,4.761796880255436,1.918767601094535e-6,4.899269824734251e-5
RPN2,7.526641998927953,0.8862091605324207,0.18900705761760112,4.688762270059768,2.7486247649471403e-6,6.279550424533082e-5
COX4I1,10.775170647642648,0.8853202787350947,0.19554978467098152,4.527339573524323,5.97309152892083e-6,1.043534225934992e-4
GSTP1,12.166591304554967,0.8777005722029018,0.2141733286669885,4.098085310928754,4.1658175440461685e-5,5.379338306877009e-4
TMEM258,15.239627773566742,0.8601898857265956,0.22850452892574588,3.764432546569439,1.6692771942171096e-4,0.0016757304634517551
COX6B1,8.382954555877635,0.8589953182605875,0.17727154788923993,4.845646853590355,1.2619982231285256e-6,4.1645941363241344e-5
NDUFA1,7.3147119256801805,0.8560547214916054,0.18586149657033288,4.605874467214682,4.107361257856627e-6,7.624289334896363e-5
UQCR11,6.014860513908568,0.8518314358820668,0.18466857239317175,4.612758006643711,3.973608358676927e-6,7.624289334896363e-5
COX6A1,7.647901842509198,0.8473154310067431,0.17817567432800938,4.755505678327855,1.979502959488586e-6,4.899269824734251e-5
PPOX,1.7720278243748881,-0.8389672825968311,0.2646369134739741,-3.1702579643309656,0.0015230365834458534,0.008869448338890558
ATP6V0A1,1.98840925270058,-0.8023793042870202,0.2411600878944715,-3.3271645871937605,8.773453768629469e-4,0.005916611915432453
COX7B,5.0763114031494005,0.7868167796185953,0.1759158330782464,4.472688818570546,7.72421429332919e-6,1.2744953583993164e-4
MAT2A,1.8878770860493577,-0.7807890262261871,0.26457149569152744,-2.9511456787337913,0.0031659755590771796,0.016211978293895212
LTA4H,2.0603931497651176,-0.7711529413098056,0.22388612841996458,-3.444398037306181,5.723324582564876e-4,0.004047208097670877
NDUFB11,7.664314124612307,0.7571645451777982,0.1719967768633363,4.40220194230395,1.0715774537012758e-5,1.6750447565751523e-4
ALDH9A1,1.8911843237949422,-0.7544282162935485,0.24525676204963198,-3.07607508958663,0.002097450162673437,0.011753635817245487
COX8A,5.332556713880399,0.7507746561711971,0.1766836582383726,4.249259176863376,2.144786510307129e-5,3.096845810687092e-4
LDHB,4.351895612245228,0.7377726600061776,0.18422329794590012,4.004773925081047,6.207682037696334e-5,7.374726260783245e-4
