gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENPP2,6.322995603325946,1.3365206855634546,0.1945245289437186,6.8707051641294425,6.388531068123134e-12,4.8488950807054586e-9
CKB,6.539540657215079,1.0129822713396177,0.2497441312854184,4.0560803816524436,4.9903091675498606e-5,0.0019934971885107074
PLPP1,4.40384622465323,0.9254452411930784,0.21265143365485895,4.351935114131936,1.3494120169216435e-5,0.0010242037208435275
SGMS2,5.091149324615301,-0.9163731407750446,0.1654871851833142,-5.537426597473125,3.0694826962845e-8,1.1648686832399676e-5
TYMS,3.852792624255466,0.8128450052013928,0.26680968707998537,3.0465348319894945,0.002314956556273061,0.031196574612376713
CES1,4.54203837475734,-0.7928684520090609,0.2124236248835152,-3.732487158355568,1.8959836566689376e-4,0.005647010188693819
FUT8,3.715536364227744,0.7913609251736615,0.1892758776954536,4.180991972188699,2.902401123731239e-5,0.0015370372899510068
HPGDS,10.178990819399704,0.7287658146667192,0.20108249264843675,3.624213152861892,2.8984249950731865e-4,0.006666377488668329
DHRS9,4.52437217774708,-0.6791531346396202,0.18696012689203445,-3.6326095083997076,2.8056944327270483e-4,0.006654756482624468
MGST1,5.824603975127884,-0.6704768835534645,0.16162907650184682,-4.148244227243378,3.350348797791772e-5,0.0015893217109524717
MSMO1,4.273528201826318,-0.655044991919169,0.17077253668635295,-3.8357747951138563,1.2516906572539643e-4,0.0045239676612179
CA2,10.099691071321304,0.6491298397629379,0.21628766104022154,3.0012338042817137,0.002688880213435178,0.034014334699955004
PPA1,146.3555587408858,0.622058615670325,0.13659615996912086,4.553997826959034,5.263589971506692e-6,4.993830985466973e-4
CA5B,4.548148470724173,-0.606146198072475,0.16031916554401154,-3.7808717130957934,1.5628019336749922e-4,0.005139156955258352
PLA1A,7.189193634177466,-0.6044509700240882,0.16304720687364943,-3.7072145031745123,2.095514436163496e-4,0.005680340918028905
SQLE,8.04178363740503,-0.583144735629395,0.13566744642428924,-4.298339439556162,1.7208248934123367e-5,0.001088421745083303
ACOX1,5.477481270811149,0.5642989662827035,0.1679333324727166,3.36025587043229,7.787031725661144e-4,0.013745016464597231
CSGALNACT2,10.92213690690666,-0.5631152281946067,0.11343473025896789,-4.964222393873838,6.897686906034457e-7,1.3088360904200383e-4
IL4I1,14.294464402682156,0.553562060162177,0.18839740059157314,2.938268035673404,0.0033005154048486663,0.03976335225841488
MTM1,3.7888904927231795,-0.5260625750979795,0.1617949860855184,-3.251414569917041,0.0011483228012669146,0.01860144871689505
GPX7,5.35467022734899,0.5228944808405834,0.14164633049214065,3.6915497847619614,2.2289175585165364e-4,0.0058336152652208656
B3GAT2,4.304916242406683,-0.5172224023123133,0.15941282691882083,-3.2445469559090307,0.0011763762034400032,0.01860144871689505
PTGS1,8.992483614897864,0.504792756851604,0.13237827319898637,3.8132598700152043,1.3714577344587216e-4,0.00473152918388259
DTYMK,5.320766774410201,0.5035043170505127,0.15293957866337776,3.292178005529445,9.941466627388766e-4,0.01676794037819572
PAPSS2,4.639902154331562,-0.5023206357841409,0.1729235984502795,-2.9048703605862825,0.003674052417920632,0.04100890860590823
DCTPP1,11.62538332352142,0.48853421932224805,0.12954547531981112,3.7711407373834964,1.6250298672753683e-4,0.005139156955258352
DNMT1,20.353374773126003,0.47126236520709663,0.10828749029777296,4.3519557421748525,1.3492850316555761e-5,0.0010242037208435275
PLD3,11.31583018386721,-0.4664766148559005,0.10217131243980071,-4.565632012711477,4.9799168530683255e-6,4.993830985466973e-4
IDH2,38.380987601502994,0.45343264386116333,0.09072399011231803,4.997935422591148,5.7947382928102e-7,1.3088360904200383e-4
GALM,9.493897733690297,0.4518673221975072,0.14052195301608117,3.2156350840483694,0.0013015622186088505,0.01937115052942338
GLA,14.426327625310595,0.44587585681485276,0.12464849232782517,3.577065783051756,3.4747275198824986e-4,0.007325883854418934
SETD7,5.731393913638663,-0.43742526967704415,0.14145529044107566,-3.092321738643329,0.001985974723663137,0.027913978060376314
UCKL1,4.471686135112254,-0.4360109211027786,0.14058370880572435,-3.101432767756266,0.0019258660020939607,0.02757985463376068
ALDH3B1,5.681502522431137,-0.43107199826938264,0.12347564455645245,-3.491150014384405,4.8094612618939693e-4,0.009606266046782955
DGKD,5.613209882568182,-0.4283460223309257,0.14723096589045878,-2.909347362766194,0.00362184195840918,0.04100890860590823
TPK1,6.8811360565493676,-0.42567294608193484,0.11844266544238763,-3.593915625691393,3.257453615955067e-4,0.007183748163146312
HACD2,6.183215634922475,-0.39004324222680226,0.12911022243069617,-3.021009761145519,0.00251933238218848,0.03240971657764503
MPPE1,7.219646774705193,-0.38752401538627707,0.11669761500898085,-3.320753516311828,8.977478386170578e-4,0.015486150216144247
GLUD1,18.968940879772493,-0.3841856579670129,0.08411461220355018,-4.56740687381779,4.937949413544462e-6,4.993830985466973e-4
FADS1,7.069844865317423,-0.3828621790561734,0.1241667935965911,-3.0834506389853704,0.002046150514067527,0.028236877094131873
HMGCS1,8.144804693394297,-0.3627883145163713,0.12773475572514506,-2.8401691650548564,0.00450896158999327,0.047531970094512384
SDSL,7.427690788599262,0.3615489605742664,0.12165570841518365,2.9719029652137725,0.0029596020642363528,0.03682521256976052
SAMD8,6.462210147532765,-0.35734095242922553,0.12231392027660354,-2.9215068213096793,0.0034834264750298006,0.04100890860590823
HSD17B11,30.978560719298603,-0.3565382891110792,0.10436156050938292,-3.4163756020016933,6.346065063198243e-4,0.012097774925548609
NME1,18.415115650289415,0.3443693558158925,0.0926245712284893,3.7179049926869943,2.0088178536855483e-4,0.005647010188693819
GAA,9.85604969256271,-0.3440457418608597,0.11306376577053066,-3.0429354578470353,0.002342825761403785,0.031196574612376713
LTA4H,21.9404733201304,-0.3410671533868365,0.09328572161234805,-3.656156027866221,2.5602555775274037e-4,0.006335408640021772
UQCR10,62.97589592927895,0.3395619747993715,0.0731810223621695,4.640027753628461,3.4836238962202547e-6,4.993830985466973e-4
ALOX5,37.400060166214296,0.3323277035311746,0.07968290609592381,4.1706273003034315,3.0376231026699736e-5,0.0015370372899510068
DCXR,23.28371427255707,0.331703654147976,0.08094324867726482,4.097978022485083,4.167748408899314e-5,0.0017574005790858774
